item_id,np_text,noun1,noun1_animacy,preposition,noun2,noun2_animacy,adverb
1,The actor in the building usually,actor,animate,in,building,inanimate,usually
2,The actress around the building usually,actress,animate,around,building,inanimate,usually
3,The aide under the building usually,aide,animate,under,building,inanimate,usually
4,The ally around the building usually,ally,animate,around,building,inanimate,usually
5,The athlete near the building usually,athlete,animate,near,building,inanimate,usually
6,The author around the building usually,author,animate,around,building,inanimate,usually
7,The baby across the building usually,baby,animate,across,building,inanimate,usually
8,The baker under the building usually,baker,animate,under,building,inanimate,usually
9,The barber over the building usually,barber,animate,over,building,inanimate,usually
10,The beggar under the building usually,beggar,animate,under,building,inanimate,usually
11,The boss across the building usually,boss,animate,across,building,inanimate,usually
12,The boy in the building usually,boy,animate,in,building,inanimate,usually
13,The bride over the building usually,bride,animate,over,building,inanimate,usually
14,The brother near the building usually,brother,animate,near,building,inanimate,usually
15,The captain outside the building usually,captain,animate,outside,building,inanimate,usually
16,The caregiver under the building usually,caregiver,animate,under,building,inanimate,usually
17,The carpenter across the building usually,carpenter,animate,across,building,inanimate,usually
18,The cashier inside the building usually,cashier,animate,inside,building,inanimate,usually
19,The chef inside the building usually,chef,animate,inside,building,inanimate,usually
20,The child over the building usually,child,animate,over,building,inanimate,usually
21,The clerk under the building usually,clerk,animate,under,building,inanimate,usually
22,The coach inside the building usually,coach,animate,inside,building,inanimate,usually
23,The colleague before the building usually,colleague,animate,before,building,inanimate,usually
24,The commander near the building usually,commander,animate,near,building,inanimate,usually
25,The consultant in the building usually,consultant,animate,in,building,inanimate,usually
26,The cook over the building usually,cook,animate,over,building,inanimate,usually
27,The cousin inside the building usually,cousin,animate,inside,building,inanimate,usually
28,The customer across the building usually,customer,animate,across,building,inanimate,usually
29,The dancer inside the building usually,dancer,animate,inside,building,inanimate,usually
30,The dentist over the building usually,dentist,animate,over,building,inanimate,usually
31,The detective in the building usually,detective,animate,in,building,inanimate,usually
32,The doctor around the building usually,doctor,animate,around,building,inanimate,usually
33,The driver across the building usually,driver,animate,across,building,inanimate,usually
34,The editor near the building usually,editor,animate,near,building,inanimate,usually
35,The engineer over the building usually,engineer,animate,over,building,inanimate,usually
36,The farmer in the building usually,farmer,animate,in,building,inanimate,usually
37,The father outside the building usually,father,animate,outside,building,inanimate,usually
38,The fighter around the building usually,fighter,animate,around,building,inanimate,usually
39,The firefighter after the building usually,firefighter,animate,after,building,inanimate,usually
40,The friend in the building usually,friend,animate,in,building,inanimate,usually
41,The gardener after the building usually,gardener,animate,after,building,inanimate,usually
42,The girl in the building usually,girl,animate,in,building,inanimate,usually
43,The grandfather inside the building usually,grandfather,animate,inside,building,inanimate,usually
44,The grandmother over the building usually,grandmother,animate,over,building,inanimate,usually
45,The guest before the building usually,guest,animate,before,building,inanimate,usually
46,The guard outside the building usually,guard,animate,outside,building,inanimate,usually
47,The guide behind the building usually,guide,animate,behind,building,inanimate,usually
48,The heir beside the building usually,heir,animate,beside,building,inanimate,usually
49,The hero beside the building usually,hero,animate,beside,building,inanimate,usually
50,The host beside the building usually,host,animate,beside,building,inanimate,usually
51,The hunter outside the building usually,hunter,animate,outside,building,inanimate,usually
52,The judge after the building usually,judge,animate,after,building,inanimate,usually
53,The kid after the building usually,kid,animate,after,building,inanimate,usually
54,The king behind the building usually,king,animate,behind,building,inanimate,usually
55,The lad near the building usually,lad,animate,near,building,inanimate,usually
56,The lady inside the building usually,lady,animate,inside,building,inanimate,usually
57,The lawyer inside the building usually,lawyer,animate,inside,building,inanimate,usually
58,The leader behind the building usually,leader,animate,behind,building,inanimate,usually
59,The librarian near the building usually,librarian,animate,near,building,inanimate,usually
60,The lieutenant over the building usually,lieutenant,animate,over,building,inanimate,usually
61,The listener over the building usually,listener,animate,over,building,inanimate,usually
62,The loader around the building usually,loader,animate,around,building,inanimate,usually
63,The manager outside the building usually,manager,animate,outside,building,inanimate,usually
64,The mayor around the building usually,mayor,animate,around,building,inanimate,usually
65,The mechanic over the building usually,mechanic,animate,over,building,inanimate,usually
66,The minister over the building usually,minister,animate,over,building,inanimate,usually
67,The mother beside the building usually,mother,animate,beside,building,inanimate,usually
68,The musician before the building usually,musician,animate,before,building,inanimate,usually
69,The neighbor inside the building usually,neighbor,animate,inside,building,inanimate,usually
70,The nurse near the building usually,nurse,animate,near,building,inanimate,usually
71,The officer behind the building usually,officer,animate,behind,building,inanimate,usually
72,The organist near the building usually,organist,animate,near,building,inanimate,usually
73,The owner around the building usually,owner,animate,around,building,inanimate,usually
74,The parent behind the building usually,parent,animate,behind,building,inanimate,usually
75,The passenger outside the building usually,passenger,animate,outside,building,inanimate,usually
76,The patient beside the building usually,patient,animate,beside,building,inanimate,usually
77,The performer under the building usually,performer,animate,under,building,inanimate,usually
78,The pharmacist beside the building usually,pharmacist,animate,beside,building,inanimate,usually
79,The photographer near the building usually,photographer,animate,near,building,inanimate,usually
80,The pilot across the building usually,pilot,animate,across,building,inanimate,usually
81,The plumber before the building usually,plumber,animate,before,building,inanimate,usually
82,The policeman under the building usually,policeman,animate,under,building,inanimate,usually
83,The policewoman under the building usually,policewoman,animate,under,building,inanimate,usually
84,The politician over the building usually,politician,animate,over,building,inanimate,usually
85,The porter under the building usually,porter,animate,under,building,inanimate,usually
86,The postman under the building usually,postman,animate,under,building,inanimate,usually
87,The priest before the building usually,priest,animate,before,building,inanimate,usually
88,The prince around the building usually,prince,animate,around,building,inanimate,usually
89,The princess before the building usually,princess,animate,before,building,inanimate,usually
90,The prisoner across the building usually,prisoner,animate,across,building,inanimate,usually
91,The professor before the building usually,professor,animate,before,building,inanimate,usually
92,The prophet before the building usually,prophet,animate,before,building,inanimate,usually
93,The receptionist behind the building usually,receptionist,animate,behind,building,inanimate,usually
94,The reporter around the building usually,reporter,animate,around,building,inanimate,usually
95,The researcher inside the building usually,researcher,animate,inside,building,inanimate,usually
96,The sailor near the building usually,sailor,animate,near,building,inanimate,usually
97,The salesman over the building usually,salesman,animate,over,building,inanimate,usually
98,The saleswoman inside the building usually,saleswoman,animate,inside,building,inanimate,usually
99,The scientist after the building usually,scientist,animate,after,building,inanimate,usually
100,The secretary around the building usually,secretary,animate,around,building,inanimate,usually
101,The senator around the building usually,senator,animate,around,building,inanimate,usually
102,The servant under the building usually,servant,animate,under,building,inanimate,usually
103,The singer behind the building usually,singer,animate,behind,building,inanimate,usually
104,The soldier around the building usually,soldier,animate,around,building,inanimate,usually
105,The speaker behind the building usually,speaker,animate,behind,building,inanimate,usually
106,The student behind the building usually,student,animate,behind,building,inanimate,usually
107,The surgeon after the building usually,surgeon,animate,after,building,inanimate,usually
108,The tailor beside the building usually,tailor,animate,beside,building,inanimate,usually
109,The teacher in the building usually,teacher,animate,in,building,inanimate,usually
110,The technician before the building usually,technician,animate,before,building,inanimate,usually
111,The tourist across the building usually,tourist,animate,across,building,inanimate,usually
112,The trainee after the building usually,trainee,animate,after,building,inanimate,usually
113,The trainer under the building usually,trainer,animate,under,building,inanimate,usually
114,The traveler in the building usually,traveler,animate,in,building,inanimate,usually
115,The villager behind the building usually,villager,animate,behind,building,inanimate,usually
116,The visitor in the building usually,visitor,animate,in,building,inanimate,usually
117,The waiter behind the building usually,waiter,animate,behind,building,inanimate,usually
118,The waitress after the building usually,waitress,animate,after,building,inanimate,usually
119,The warrior around the building usually,warrior,animate,around,building,inanimate,usually
120,The watchman around the building usually,watchman,animate,around,building,inanimate,usually
121,The widow before the building usually,widow,animate,before,building,inanimate,usually
122,The widower over the building usually,widower,animate,over,building,inanimate,usually
123,The worker in the building usually,worker,animate,in,building,inanimate,usually
124,The writer after the building usually,writer,animate,after,building,inanimate,usually
125,The youth around the building usually,youth,animate,around,building,inanimate,usually
126,The accountant near the building usually,accountant,animate,near,building,inanimate,usually
127,The advisor across the building usually,advisor,animate,across,building,inanimate,usually
128,The agent behind the building usually,agent,animate,behind,building,inanimate,usually
129,The ambassador over the building usually,ambassador,animate,over,building,inanimate,usually
130,The analyst in the building usually,analyst,animate,in,building,inanimate,usually
131,The apprentice under the building usually,apprentice,animate,under,building,inanimate,usually
